gene_id,group,RNA_Leaf_Zone_3_Growth,RNA_Root_Meristem_Zone_5_Days,Protein_Leaf_Zone_3_Growth,Protein_Root_Meristem_Zone_5_Days
Zm00001d045893,val,5.62340055949,4.84272375554,5.62340055949,4.84272375554
Zm00001d035701,train,3.9087982314999996,3.8447112256800002,3.9087982314999996,3.8447112256800002
Zm00001d034998,test,3.79242107385,2.0297421774,3.79242107385,2.0297421774
Zm00001d044868,test,0.056532651166500004,0.119142095733,0.056532651166500004,0.119142095733
Zm00001d052210,train,0.16352990207499998,0.279580258061,0.16352990207499998,0.279580258061
Zm00001d032588,train,5.315041599290001,6.27220065837,5.315041599290001,6.27220065837
Zm00001d022242,train,3.0341182087400003,1.17616497713,3.0341182087400003,1.17616497713
Zm00001d006576,train,0.0869431331015,0.028939409610599997,0.0869431331015,0.028939409610599997
Zm00001d033394,train,0.0,0.0,0.0,0.0
Zm00001d011308,val,4.460660196559999,4.03743479345,4.460660196559999,4.03743479345
Zm00001d014316,train,2.02135355795,1.5960624672100001,2.02135355795,1.5960624672100001
Zm00001d020059,train,0.0,0.0,0.0,0.0
Zm00001d008881,train,0.0,0.333740537166,0.0,0.333740537166
Zm00001d038537,test,3.22927485681,2.25527116011,3.22927485681,2.25527116011
Zm00001d029378,train,5.492062563759999,4.71429924247,5.492062563759999,4.71429924247
Zm00001d009810,train,5.50577040975,4.499314635849999,5.50577040975,4.499314635849999
Zm00001d007665,val,0.13658803031199998,0.030936249934,0.13658803031199998,0.030936249934
Zm00001d023540,train,0.0,0.0,0.0,0.0
Zm00001d041495,train,3.5328253144,6.1071910889100005,3.5328253144,6.1071910889100005
Zm00001d016601,train,0.47688669277199996,1.28564896975,0.47688669277199996,1.28564896975
Zm00001d033334,test,1.5924982097999998,0.22825276386799997,1.5924982097999998,0.22825276386799997
Zm00001d002432,train,2.53749056901,1.18222920017,2.53749056901,1.18222920017
Zm00001d038196,train,6.228045268759999,3.7006994276,6.228045268759999,3.7006994276
Zm00001d036565,train,7.75563976742,9.72977089531,7.75563976742,9.72977089531
Zm00001d002403,val,3.20647936272,4.45864850022,3.20647936272,4.45864850022
Zm00001d008753,train,1.273872191,1.26602289901,1.273872191,1.26602289901
Zm00001d042555,val,4.1483394987599995,4.0659979971,4.1483394987599995,4.0659979971
Zm00001d030989,train,5.198438587159999,5.5378814338,5.198438587159999,5.5378814338
Zm00001d014315,train,1.19663014621,0.471583412579,1.19663014621,0.471583412579
Zm00001d003430,train,2.91038992501,3.1269332519599997,2.91038992501,3.1269332519599997
Zm00001d052225,train,6.0242793926600005,6.0297982697000005,6.0242793926600005,6.0297982697000005
Zm00001d020053,train,4.528630906619999,2.8838812913,4.528630906619999,2.8838812913
Zm00001d009009,train,0.0,0.0,0.0,0.0
Zm00001d019269,test,2.46672124439,3.6955008215699996,2.46672124439,3.6955008215699996
Zm00001d017959,train,2.8538370352900007,2.2598717115299998,2.8538370352900007,2.2598717115299998
Zm00001d017139,train,4.55702964143,3.08829720036,4.55702964143,3.08829720036
Zm00001d005545,train,0.0,0.123219689096,0.0,0.123219689096
Zm00001d018580,train,0.0,0.0,0.0,0.0
Zm00001d041553,train,0.383164342703,0.0,0.383164342703,0.0
Zm00001d039727,train,5.46998382865,3.08111770503,5.46998382865,3.08111770503
Zm00001d002345,val,3.7286591707800003,3.7951158505900002,3.7286591707800003,3.7951158505900002
Zm00001d030399,train,0.0,0.0,0.0,0.0
Zm00001d049129,train,0.0,7.172075816639999,0.0,7.172075816639999
Zm00001d025397,val,4.48956946886,4.16854893084,4.48956946886,4.16854893084
Zm00001d009653,train,8.41359738997,10.0203306716,8.41359738997,10.0203306716
Zm00001d050959,train,0.159194404635,0.0204211466807,0.159194404635,0.0204211466807
Zm00001d050055,train,0.07739039871610001,0.0392986030999,0.07739039871610001,0.0392986030999
Zm00001d034422,train,7.8120825074899995,9.926067901849999,7.8120825074899995,9.926067901849999
Zm00001d012679,train,5.4467262452,6.61861266033,5.4467262452,6.61861266033
Zm00001d024059,train,4.4027973556,3.78902114006,4.4027973556,3.78902114006
Zm00001d013320,train,5.20393780401,2.1416955668,5.20393780401,2.1416955668
Zm00001d045319,train,2.52254260227,2.65632337194,2.52254260227,2.65632337194
Zm00001d005160,train,2.8103889836400002,2.29342259031,2.8103889836400002,2.29342259031
Zm00001d043981,val,4.543473796230001,5.0971023534599995,4.543473796230001,5.0971023534599995
Zm00001d006269,train,3.52099304377,3.21230767667,3.52099304377,3.21230767667
Zm00001d028984,train,4.580048333130001,1.4348304338999998,4.580048333130001,1.4348304338999998
Zm00001d021877,val,3.5084919074400003,3.3501062735400002,3.5084919074400003,3.3501062735400002
Zm00001d016442,train,4.743813268669999,4.59894207869,4.743813268669999,4.59894207869
Zm00001d028104,train,4.08445251748,3.84525048862,4.08445251748,3.84525048862
Zm00001d002312,train,1.7426044611700002,1.0388902133600002,1.7426044611700002,1.0388902133600002
Zm00001d035263,train,0.0268599208437,0.0,0.0268599208437,0.0
Zm00001d028210,train,4.72269815175,5.680129962890001,4.72269815175,5.680129962890001
Zm00001d013817,train,3.7776085971,3.2206564332800003,3.7776085971,3.2206564332800003
Zm00001d024310,train,2.26758969722,3.17505480925,2.26758969722,3.17505480925
Zm00001d039407,train,3.7115742549,3.71773481736,3.7115742549,3.71773481736
